44.41773927911386,"[9.638647728110993, 4.114871120943246]","[7, 4]","[1.34149349580824, 4.81855880633436]","[0.351397164237, -2.46503842576e-20, 0.648602835763]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,15209,2.66587611947838,528.274278046174
0,2,11679,2.39790139628342,464.923971303795
0,3,11865,2.95035943171027,569.014642725528
0,4,11592,3.3259620805639742,646.042371682924
0,5,10103,4.001262465213954,756.247813762952
0,6,9301,4.142708589386481,772.853593472233
0,7,7935,4.62614871486332,868.122386168264
0,8,7501,4.509094902401505,840.975248785846
0,9,6279,4.931798740426836,922.579112444594
0,10,4544,6.53005575837923,1205.37645158013
0,11,4523,5.316247969336907,1027.98400930805
0,12,3677,5.62464663017769,1082.79810461938
0,13,4441,5.2243447221488015,1029.00758858639
0,14,3413,5.732601999054449,1127.60425682159
0,15,3431,6.45477767809738,1273.52917778540
0,16,3637,6.85546454287195,1366.67073823037
0,17,2557,6.553897417067656,1295.16209652477
0,18,2691,6.153608027745343,1190.33255521472
0,19,1408,7.302912237289676,1416.55595869651
0,20,1229,8.002676598502076,1564.26441793976
1,0,3658,4.90913720472634,931.861936528768
1,1,16321,3.62555800782888,676.256133656903
1,2,18496,3.17691793026223,589.871795296709
1,3,20811,3.57081968211910,670.819124403611
1,4,20068,4.14191082076543,780.612262794976
1,5,17467,4.420164467881046,825.829057990375
1,6,14798,4.59865871703000,856.294253156622
1,7,12290,4.98860759326872,928.854772573483
1,8,10409,5.630404711971284,1049.41408552540
1,9,10677,6.1253467408579825,1140.94220549791
1,10,9262,6.032190027755737,1157.51216612910
1,11,6967,5.902851698875586,1118.45210424683
1,12,7685,5.669206179005681,1103.46171467397
1,13,6716,5.773747821421848,1125.35818910917
1,14,6069,6.33395299111102,1235.15712608651
1,15,5936,6.885582281920689,1346.94492700033
1,16,5399,6.417036769301034,1264.00021805663
1,17,3665,6.608246480011452,1272.72864212336
1,18,3110,7.6190225363509345,1474.07663569229
1,19,2557,8.043518646225255,1572.19423284788
1,20,3113,7.864110156799007,1540.69234890401
2,0,2766,5.64930143056965,1050.87539846876
2,1,10756,4.21390575908348,792.192377995535
2,2,15810,3.54750680824353,665.563022941983
2,3,19951,3.93982397750127,740.843552581989
2,4,17957,4.40045864902995,828.403086138201
2,5,15321,4.55645848824949,849.516694998353
2,6,13595,4.975278465528904,925.662218315208
2,7,11662,5.38907575318128,1003.08648091731
2,8,11350,5.64869712596431,1052.83886958740
2,9,9311,5.882089831621017,1116.00642491533
2,10,8657,5.915737256512609,1124.82619414029
2,11,7411,6.310291498124411,1202.19402177276
2,12,7792,6.555725458228826,1279.63461508682
2,13,6372,6.515100396106293,1279.92829014774
2,14,6054,6.999975175731696,1377.47293829437
2,15,5707,6.637514516228286,1312.92215225057
2,16,4432,6.196452888764485,1211.06097917006
2,17,3242,6.871647771895035,1338.11837076801
2,18,2474,8.632700999198612,1682.25923897192
2,19,2438,8.079293448776378,1571.62313658618
2,20,2276,7.448756890237591,1442.27737439040
3,0,1446,5.51219031747387,1025.38074014589
3,1,6369,4.45122856282690,843.135586166005
3,2,10764,4.13375747430771,782.814862965137
3,3,12325,4.06022443442923,763.268949620925
3,4,10580,4.745639884880457,880.996470933327
3,5,9354,5.526899888621756,1032.57242772847
3,6,7511,5.837496388777376,1091.75264918455
3,7,7775,5.958870338773718,1136.33845777366
3,8,7149,5.438824851611014,1035.56042232749
3,9,6440,6.110834656276076,1165.02509824723
3,10,5704,6.2687117794035325,1195.32948830404
3,11,4604,6.32498885303796,1210.59130532309
